date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:53	2387/2387	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2012%20May%202018%2009:10:53%20GMT	https://www.nyerk.xyz/robots.txt		(from )
11:10:53	20930/20930	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:53%20GMT	https://www.nyerk.xyz/	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/index.html	(from )
11:10:53	749/749	---M--	200	added ('OK')	text/css	etag:%22596bab52-2ed%22	https://www.nyerk.xyz/styles/prosilver/theme/stylesheet.css?assets_version=25	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/styles/prosilver/theme/stylesheet5d79.css	(from https://www.nyerk.xyz/)
11:10:53	31000/31000	---M--	200	added ('OK')	text/css	etag:%22596bab52-7918%22	https://www.nyerk.xyz/assets/css/font-awesome.min.css?assets_version=25	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/assets/css/font-awesome.min5d79.css	(from https://www.nyerk.xyz/)
11:10:54	489/489	---M--	200	added ('OK')	text/css	etag:%2258876bc6-1e9%22	https://www.nyerk.xyz/styles/we_universal/theme/stylesheet.css?assets_version=25	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/styles/we_universal/theme/stylesheet5d79.css	(from https://www.nyerk.xyz/)
11:10:54	9944/9944	---M--	200	added ('OK')	text/css	etag:%22596bab52-26d8%22	https://www.nyerk.xyz/styles/prosilver/theme/responsive.css?assets_version=25	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/styles/prosilver/theme/responsive5d79.css	(from https://www.nyerk.xyz/)
11:10:54	4200/4200	---M--	200	added ('OK')	text/css	etag:%22588b3dc6-1068%22	https://www.nyerk.xyz/styles/we_universal/theme/responsive.css?assets_version=25	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/styles/we_universal/theme/responsive5d79.css	(from https://www.nyerk.xyz/)
11:10:54	1868/1868	---M--	200	added ('OK')	text/css	etag:%22593b9c12-74c%22	https://www.nyerk.xyz/ext/gfksx/ThanksForPosts/styles/prosilver/theme/thanks.css?assets_version=25	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/ext/gfksx/ThanksForPosts/styles/prosilver/theme/thanks5d79.css	(from https://www.nyerk.xyz/)
11:10:54	18671/18671	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:55%20GMT	https://www.nyerk.xyz/index.php?sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/index91f2.html	(from https://www.nyerk.xyz/)
11:10:55	58263/58263	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:55%20GMT	https://www.nyerk.xyz/app.php/help/faq?sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/app.php/help/faq91f2.html	(from https://www.nyerk.xyz/)
11:10:55	13575/13575	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:55%20GMT	https://www.nyerk.xyz/search.php?sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/search91f2.html	(from https://www.nyerk.xyz/)
11:10:55	53174/53174	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:56%20GMT	https://www.nyerk.xyz/search.php?search_id=unanswered&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/search133e.html	(from https://www.nyerk.xyz/)
11:10:55	8897/8897	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:56%20GMT	https://www.nyerk.xyz/search.php?search_id=active_topics&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/searcha35a.html	(from https://www.nyerk.xyz/)
11:10:56	9967/9967	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:56%20GMT	https://www.nyerk.xyz/memberlist.php?mode=team&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/memberlistf896.html	(from https://www.nyerk.xyz/)
11:10:56	9959/9959	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:56%20GMT	https://www.nyerk.xyz/ucp.php?mode=login&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/ucpa4de.html	(from https://www.nyerk.xyz/)
11:10:56	10614/10614	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:57%20GMT	https://www.nyerk.xyz/ucp.php?mode=register&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/ucpc571.html	(from https://www.nyerk.xyz/)
11:10:56	17314/17314	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:57%20GMT	https://www.nyerk.xyz/viewforum.php?f=3&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/viewforum54d5.html	(from https://www.nyerk.xyz/)
11:10:56	22159/22159	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:57%20GMT	https://www.nyerk.xyz/viewforum.php?f=2&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/viewforum61a2.html	(from https://www.nyerk.xyz/)
11:10:57	27194/27194	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:57%20GMT	https://www.nyerk.xyz/viewtopic.php?f=2&p=1415&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/viewtopic37e7.html	(from https://www.nyerk.xyz/)
11:10:57	9976/9976	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:57%20GMT	https://www.nyerk.xyz/memberlist.php?mode=viewprofile&u=353&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/memberlist91dc.html	(from https://www.nyerk.xyz/)
11:10:57	56417/56417	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:58%20GMT	https://www.nyerk.xyz/viewforum.php?f=6&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/viewforumeb83.html	(from https://www.nyerk.xyz/)
11:10:57	18072/18072	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:58%20GMT	https://www.nyerk.xyz/viewtopic.php?f=6&p=2319&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/viewtopica0e3.html	(from https://www.nyerk.xyz/)
11:10:58	9975/9975	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:58%20GMT	https://www.nyerk.xyz/memberlist.php?mode=viewprofile&u=48&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/memberlista1b5.html	(from https://www.nyerk.xyz/)
11:10:58	54031/54031	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:58%20GMT	https://www.nyerk.xyz/viewforum.php?f=7&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/viewforumeefd.html	(from https://www.nyerk.xyz/)
11:10:58	14510/14510	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:58%20GMT	https://www.nyerk.xyz/viewtopic.php?f=7&p=2274&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/viewtopicf29a.html	(from https://www.nyerk.xyz/)
11:10:58	9975/9975	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:59%20GMT	https://www.nyerk.xyz/memberlist.php?mode=viewprofile&u=63&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/memberlist5a52.html	(from https://www.nyerk.xyz/)
11:10:58	59183/59183	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:59%20GMT	https://www.nyerk.xyz/viewforum.php?f=4&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/viewforum1312.html	(from https://www.nyerk.xyz/)
11:10:59	26566/26566	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:59%20GMT	https://www.nyerk.xyz/viewtopic.php?f=4&p=2303&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/viewtopicadf8.html	(from https://www.nyerk.xyz/)
11:10:59	9976/9976	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:10:59%20GMT	https://www.nyerk.xyz/memberlist.php?mode=viewprofile&u=333&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/memberlist5a76.html	(from https://www.nyerk.xyz/)
11:10:59	71008/71008	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:11:00%20GMT	https://www.nyerk.xyz/viewforum.php?f=8&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/viewforum240d.html	(from https://www.nyerk.xyz/)
11:10:59	17964/17964	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2009:11:00%20GMT	https://www.nyerk.xyz/viewforum.php?f=9&sid=b0312600f4ae2825fe72f361334c16a4	C:/My%20Web%20Sites/Nyerk%20Forum/www.nyerk.xyz/viewforumded5.html	(from https://www.nyerk.xyz/)
